epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,81.1114,1.50811,1.72438,1.79937,1.07767,0.50342,0.72609,0.69125,0.25571,0.73153,0.35897,0.37606,0.08771,2.34429,3.21277,1.78788,1.52272,0.0003268,0.0003268,0.0003268
70,82.3006,1.41928,1.71108,1.51603,1.08381,0.72003,0.67606,0.71098,0.25874,0.76121,0.35897,0.38782,0.09556,2.30834,3.14083,1.83333,1.50139,0.0003169,0.0003169,0.0003169
71,83.3909,1.37977,1.78631,1.52864,1.07583,0.62706,0.6532,0.69514,0.24522,0.31378,0.4359,0.39063,0.07489,2.31141,3.04778,1.76152,1.53125,0.000307,0.000307,0.000307
72,84.4804,1.36204,1.82946,1.48665,1.07241,0.67619,0.7094,0.70515,0.27895,0.32742,0.4359,0.39528,0.09706,2.25581,3.06215,1.72759,1.50976,0.0002971,0.0002971,0.0002971
73,85.8629,1.33345,1.70001,1.38123,1.02841,0.52492,0.64678,0.62521,0.26174,0.73098,0.35897,0.37807,0.0893,2.28118,3.08594,1.78704,1.55192,0.0002872,0.0002872,0.0002872
74,87.0043,1.38408,1.80531,1.47897,1.02892,0.46038,0.65443,0.54982,0.23586,0.78631,0.4359,0.42372,0.09416,2.21027,2.97214,1.79889,1.5002,0.0002773,0.0002773,0.0002773
75,88.0867,1.41817,1.73566,1.45136,1.05171,0.8522,0.4359,0.52048,0.22701,0.73989,0.38462,0.3824,0.09694,2.05354,2.87561,1.79981,1.39062,0.0002674,0.0002674,0.0002674
76,89.1769,1.37092,1.78637,1.42529,1.07493,0.8956,0.43362,0.52959,0.23796,0.75812,0.38462,0.38442,0.09774,2.04331,2.8804,1.79526,1.39798,0.0002575,0.0002575,0.0002575
77,90.2639,1.32141,1.71903,1.47502,1.03504,0.83256,0.4359,0.55052,0.22535,0.71614,0.38462,0.38454,0.09556,2.11693,2.87664,1.79191,1.45893,0.0002476,0.0002476,0.0002476
78,91.3832,1.32717,1.65953,1.41345,1.06297,0.80359,0.43581,0.54488,0.19502,0.75362,0.35897,0.41108,0.09746,2.16548,2.88721,1.80261,1.49117,0.0002377,0.0002377,0.0002377
79,92.4827,1.31284,1.62158,1.45811,1.04822,0.94634,0.4359,0.56101,0.18797,0.70903,0.38462,0.39196,0.09456,2.1776,2.92368,1.85905,1.45507,0.0002278,0.0002278,0.0002278
80,93.5775,1.33442,1.75714,1.51717,1.05033,0.86069,0.46154,0.56337,0.22861,0.66829,0.35897,0.38554,0.11876,2.14287,2.91564,1.87128,1.43859,0.0002179,0.0002179,0.0002179
81,94.6504,1.3365,1.68002,1.34337,1.05108,0.4524,0.57908,0.58194,0.22517,0.80339,0.40776,0.40639,0.10493,2.11592,2.89554,1.85583,1.43493,0.000208,0.000208,0.000208
82,95.7169,1.24335,1.58978,1.54199,0.99842,0.45559,0.57265,0.57031,0.21989,0.80951,0.41026,0.4133,0.13199,2.13851,2.8829,1.84775,1.44217,0.0001981,0.0001981,0.0001981
83,96.8012,1.28229,1.64382,1.34929,1.03268,0.58568,0.68338,0.66843,0.23439,0.80839,0.41026,0.41496,0.1084,2.17927,2.86811,1.72013,1.49985,0.0001882,0.0001882,0.0001882
84,97.844,1.3438,1.61073,1.46232,1.09434,0.66395,0.54701,0.63839,0.23965,0.80598,0.40971,0.42479,0.11023,2.22363,2.88313,1.70131,1.54622,0.0001783,0.0001783,0.0001783
85,98.9215,1.40628,1.71968,1.42384,1.07055,0.62259,0.54701,0.62098,0.22722,0.76278,0.41026,0.44059,0.10527,2.22014,2.93129,1.71081,1.54608,0.0001684,0.0001684,0.0001684
86,99.9568,1.28855,1.67158,1.32296,1.01852,0.57873,0.54701,0.60922,0.22735,0.76734,0.41026,0.42225,0.1027,2.22408,2.94437,1.74136,1.55897,0.0001585,0.0001585,0.0001585
87,101.01,1.22519,1.59099,1.35104,0.96949,0.62475,0.57571,0.60801,0.2382,0.78272,0.40584,0.42682,0.0967,2.20278,2.97923,1.78974,1.55458,0.0001486,0.0001486,0.0001486
88,102.056,1.30909,1.67188,1.37155,1.03278,0.63153,0.57681,0.60939,0.21988,0.80679,0.38462,0.42291,0.10355,2.19529,2.99703,1.81218,1.53789,0.0001387,0.0001387,0.0001387
89,103.124,1.28533,1.80652,1.3866,1.0425,0.48889,0.56616,0.59447,0.24951,0.80789,0.38462,0.41642,0.10163,2.18515,3.00526,1.81332,1.52159,0.0001288,0.0001288,0.0001288
90,104.189,1.21857,1.55828,1.42807,0.98476,0.43567,0.56729,0.53707,0.2151,0.81248,0.38462,0.41372,0.10122,2.18059,3.00606,1.78473,1.47806,0.0001189,0.0001189,0.0001189
91,106.672,1.15803,1.59209,1.39959,1.00379,0.4204,0.54805,0.54772,0.20604,0.82038,0.38462,0.41456,0.10048,2.16621,3.0351,1.76012,1.44304,0.000109,0.000109,0.000109
92,107.757,1.28058,1.65422,1.50072,1.0623,0.40605,0.54892,0.54737,0.2028,0.73628,0.35897,0.38938,0.0976,2.15595,3.05932,1.75484,1.438,9.91e-05,9.91e-05,9.91e-05
93,108.791,1.27246,1.52318,1.47411,1.06538,0.87446,0.41026,0.50266,0.19469,0.71689,0.35897,0.39164,0.09713,2.18148,3.11817,1.79567,1.44083,8.92e-05,8.92e-05,8.92e-05
94,109.849,1.27889,1.58057,1.46268,1.0833,0.87382,0.41026,0.50721,0.19734,0.71145,0.35897,0.38594,0.09521,2.18564,3.1435,1.77972,1.43737,7.93e-05,7.93e-05,7.93e-05
95,110.925,1.40062,1.73573,1.62681,1.09264,0.87676,0.40994,0.50414,0.20103,0.70687,0.35897,0.376,0.09264,2.22704,3.16809,1.78893,1.4468,6.94e-05,6.94e-05,6.94e-05
96,111.99,1.19626,1.5617,1.39728,1.03994,0.87355,0.41026,0.51112,0.20144,0.70459,0.35897,0.38148,0.09286,2.23049,3.16453,1.78253,1.45496,5.95e-05,5.95e-05,5.95e-05
97,113.042,1.30537,1.67876,1.54081,1.03274,0.87667,0.41026,0.51512,0.19796,0.70959,0.35897,0.38837,0.08514,2.21978,3.15507,1.80342,1.44701,4.96e-05,4.96e-05,4.96e-05
98,114.121,1.2313,1.54423,1.49864,1.02964,0.87836,0.41026,0.51672,0.19616,0.71384,0.35897,0.38916,0.08528,2.22087,3.15699,1.81006,1.45986,3.97e-05,3.97e-05,3.97e-05
99,115.207,1.22553,1.54369,1.3949,1.01949,0.87997,0.41026,0.51508,0.19911,0.69414,0.38462,0.3816,0.08484,2.2467,3.13286,1.79796,1.45861,2.98e-05,2.98e-05,2.98e-05
100,116.265,1.26619,1.57158,1.52811,1.06101,0.88108,0.41026,0.5225,0.20154,0.69432,0.38462,0.38121,0.09271,2.25924,3.12448,1.81424,1.46188,1.99e-05,1.99e-05,1.99e-05
